Substrate,Products,Kinetic Law,Modifiers,Parameters
L R,L_R,Mass Action Binding,,k1_1
L_R,L R,Mass Action,,k1_2
L_R,DISC,Mass Action,,k1_3
flip DISC,flip_DISC,Mass Action Binding,,k1_4
flip_DISC,flip DISC,Mass Action,,k1_5
pC8 DISC,DISC_pC8,Mass Action Binding,,k1_6
DISC_pC8,pC8 DISC,Mass Action,,k1_7
DISC_pC8,C8 DISC,Mass Action,,k1_8
C8 BAR,BAR_C8,Mass Action Binding,,k1_9
BAR_C8,C8 BAR,Mass Action,,k1_10
pC3 C8,pC3_C8,Mass Action Binding,,k1_11
pC3_C8,pC3 C8,Mass Action,,k1_12
pC3_C8,C3 C8,Mass Action,,k1_13
pC6 C3,pC6_C3,Mass Action Binding,,k1_14
pC6_C3,pC6 C3,Mass Action,,k1_15
pC6_C3,C6 C3,Mass Action,,k1_16
pC8 C6,pC8_C6,Mass Action Binding,,k1_17
pC8_C6,pC8 C6,Mass Action,,k1_18
pC8_C6,C8 C6,Mass Action,,k1_19
XIAP C3,XIAP_C3,Mass Action Binding,,k1_20
XIAP_C3,XIAP C3,Mass Action,,k1_21
XIAP_C3,XIAP C3_U,Mass Action,,k1_22
PARP C3,PARP_C3,Mass Action Binding,,k1_23
PARP_C3,PARP C3,Mass Action,,k1_24
PARP_C3,CPARP C3,Mass Action,,k1_25
Bid C8,Bid_C8,Mass Action Binding,,k1_26
Bid_C8,Bid C8,Mass Action,,k1_27
Bid_C8,tBid C8,Mass Action,,k1_28
tBid Bcl2c,tBid_Bcl2c,Mass Action Binding,,k1_29
tBid_Bcl2c,tBid Bcl2c,Mass Action,,k1_30
Bax tBid,Bax_tBid,Mass Action Binding,,k1_31
Bax_tBid,Bax tBid,Mass Action,,k1_32
Bax_tBid,aBax tBid,Mass Action,,k1_33
aBax,MBax,Mass Action,,k1_34
MBax,aBax,Mass Action,,k1_35
MBax Bcl2,MBax_Bcl2,Mass Action Binding,,k1_36
MBax_Bcl2,MBax Bcl2,Mass Action,,k1_37
MBax MBax,Bax2,Mass Action Binding,,k1_38
Bax2,MBax MBax,Mass Action,,k1_39
Bax2 Bcl2,MBax2_Bcl2,Mass Action Binding,,k1_40
MBax2_Bcl2,Bax2 Bcl2,Mass Action,,k1_41
Bax2 Bax2,Bax4,Mass Action Binding,,k1_42
Bax4,Bax2 Bax2,Mass Action,,k1_43
Bax4 Bcl2,MBax4_Bcl2,Mass Action Binding,,k1_44
MBax4_Bcl2,Bax4 Bcl2,Mass Action,,k1_45
